candidate_level,candidate_score,股票代號,股票名稱,市場,收盤價,MA20,是否站上 MA20,K 值,D 值,RSI,Volume_MA5,Volume_MA20,Volume_MA40,放量倍數,MACD_DIF,MACD_Signal,MACD_Histogram,MACD_Histogram_前1日,MACD_Histogram_前2日,MACD_綠柱趨緩接近翻紅,是否符合 KD 區間,是否符合 RSI 區間,是否明顯放量,MACD 是否綠柱趨緩接近翻紅,法人近 5 日是否合計買超,投信近 5 日是否買超,外資近 1 日買賣超張數,投信近 1 日買賣超張數,自營商近 1 日買賣超張數,三大法人近 1 日合計買賣超張數,外資近 5 日買賣超張數,投信近 5 日買賣超張數,自營商近 5 日買賣超張數,三大法人近 5 日合計買賣超張數,外資近 20 日買賣超張數,投信近 20 日買賣超張數,自營商近 20 日買賣超張數,三大法人近 20 日合計買賣超張數,最後更新日期
接近,30,2433,互盛電,上市,41.20000076293945,41.63749961853027,False,29.383154316091826,37.37733548696757,31.159420425886225,29638.0,21175.8,28034.225,1.3996165434127636,-0.17741076960918178,-0.1578263020746437,-0.019584467534538075,-0.007165044197500886,0.010382447106991377,否,否,是,否,否,是,否,1.0,0.0,-1.0,0.0,38.292,0.0,0.0,38.292,62.292,0.0,0.2970000000000006,62.589,2026-09-10
接近,30,2706,第一店,上市,12.25,12.465000009536743,False,27.23233028533813,34.56836079405971,37.133940064196906,152944.0,111443.2,125473.725,1.372394188250158,-0.059484381472485026,-0.028797529669493685,-0.03068685180299134,-0.02746786931477603,-0.014636603247880966,否,否,是,否,否,是,否,-13.0,0.0,0.0,-13.0,12.945,0.0,0.0,12.945,-340.055,0.0,0.8159999999999998,-339.239,2026-09-10
接近,30,4569,六方科-KY,上市,158.5,166.275,False,31.627510189196098,50.824220465578605,43.08813824967618,167716.4,123788.2,98305.85,1.354865811119315,1.1841637395845055,2.0482623981480863,-0.8640986585635808,-0.043498245191728735,1.13461718300882,否,否,是,否,否,否,否,-40.0,0.0,-1.0,-41.0,-93.269,0.0,-1.0,-94.269,-70.045,0.0,-0.7109999999999999,-70.756,2026-09-10
接近,30,8201,無敵,上市,12.0,11.797499942779542,True,34.836243284245725,34.2790367382617,53.38784493180259,38911.0,28809.65,34020.3,1.3506238361104699,-0.0756597883470409,-0.09775702101039914,0.022097232663358238,-0.0009595812789933017,-0.005617676153570561,否,是,否,否,否,是,否,6.0,0.0,0.0,6.0,4.552,0.0,0.0,4.552,4.375,0.0,2.0,6.375,2026-09-10
接近,30,1723,中碳,上市,82.30000305175781,85.9450008392334,False,15.810325921143015,22.519801730065172,38.95887072339887,816126.8,614000.75,706091.25,1.3291951190613367,-0.44769682094458574,0.05542830960071214,-0.5031251305452978,-0.3971209187467485,-0.32978121379157765,否,否,是,否,否,否,是,-604.711,18.0,-22.048,-608.759,-1760.486,55.0,-46.414,-1751.9,-555.0610000000003,108.0,7.716999999999997,-439.34400000000005,2026-09-10
接近,30,9930,中聯資源,上市,62.20000076293945,63.114999771118164,False,27.211841292356844,33.15853078822613,38.50878892598883,113980.2,86635.65,123560.7,1.3156269965077887,-0.24079509421689238,-0.1964591967088281,-0.04433589750806427,-0.009794072884320326,0.00810430604749729,否,否,是,否,否,是,否,-32.0,0.0,-4.829,-36.829,11.464,0.0,-1.3590000000000009,10.104999999999997,27.252,0.0,10.350999999999999,37.602999999999994,2026-09-10
接近,30,6937,天虹,上市,296.0,278.975,True,46.30221568817363,48.530837774962926,59.66719841514682,574292.2,437136.15,494127.275,1.3137604840048116,5.798805402476148,4.413383927041705,1.385421475434443,1.1080975497450272,1.0228967123883335,否,是,否,否,否,是,否,221.211,0.0,-172.104,49.107,230.156,0.0,-148.763,81.393,161.67700000000002,-27.0,-156.199,-21.521999999999977,2026-09-10
接近,30,9906,欣巴巴,上市,39.75,40.13378086090088,False,37.904583866005,54.02755883901098,44.758373848467265,68068.0,52257.05,62938.55,1.30256108984338,0.3315360756055341,0.2589894001322981,0.07254667547323601,0.21923522794282768,0.2989017766032357,否,否,是,否,否,是,否,20.0,0.0,-3.0,17.0,59.803,0.0,0.0,59.803,285.539,0.0,-14.0,271.539,2026-09-10
接近,30,1440,南紡,上市,13.5,13.707500076293945,False,25.642335671145545,33.94191654281592,48.42162548245254,3710425.2,2866213.15,2498546.325,1.2945391727059798,0.13205723751670817,0.18366481733869694,-0.05160757982198877,-0.03264006190768859,-0.02796205078187436,否,否,是,否,否,否,否,154.216,-39.0,-55.433,59.78300000000001,-506.08799999999997,-36.0,-35.59799999999999,-577.6859999999999,6430.937,-33.0,-71.92500000000001,6326.0120000000015,2026-09-10
接近,30,1445,大宇,上市,10.300000190734863,10.31749997138977,False,50.29321180157126,40.24919926033006,46.16428543789038,90041.4,70224.2,74062.625,1.2821990140151116,-0.09107452613497102,-0.11990232712104316,0.02882780098607214,0.03060946604928319,0.03274082945590351,否,否,是,否,否,是,否,1.0,0.0,2.0,3.0,123.164,0.0,1.0,124.164,282.164,0.0,1.0,283.164,2026-09-10
接近,30,1432,大魯閣,上市,15.0,15.040000104904175,False,25.70390920350775,27.378110852425365,40.647531815262504,83192.4,68063.2,113211.35,1.2222816441189952,-0.04950996193402801,-0.060428489210306,0.010918527276277984,0.012677822227217056,0.01534303398218631,否,否,是,否,否,是,否,3.0,0.0,0.0,3.0,76.8,0.0,0.0,76.8,152.399,0.0,2.0,154.399,2026-09-10
接近,30,6835,圓裕,上市,31.0,31.045000076293945,False,50.377309842278756,48.392451280598486,43.73136046800099,21612.4,17808.3,30904.2,1.213613876675483,-0.15896456538033732,-0.2401238064557366,0.08115924107539929,0.09646951697918615,0.10643398406286342,否,否,是,否,否,是,否,4.0,0.0,0.0,4.0,45.586,0.0,0.0,45.586,35.586,0.0,1.0,36.586,2026-09-10
接近,30,3645,達邁,上市,70.5999984741211,69.81499977111817,True,43.552604907497,54.66723105739848,48.750186678373396,3169088.8,2638568.7,2152411.275,1.2010635917874717,0.4184705118917833,-0.11055830785987789,0.5290288197516612,0.7867008985778086,0.7995397368310969,否,否,是,否,否,否,否,-1849.0,0.0,-29.042,-1878.042,-4464.293,0.0,-31.145000000000003,-4495.438,-11633.925999999998,0.0,-52.99200000000001,-11686.918000000001,2026-09-10
接近,30,6593,台灣銘板,上櫃,31.799999237060547,32.1149998664856,False,28.197826117120783,27.37404490202738,43.370589236173,54545.8,45863.05,43998.175,1.1893190705807835,-0.27410440050688933,-0.2634269306363507,-0.010677469870538636,-0.021959960208048024,-0.034331172201220506,是,否,是,否,是,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-10
接近,30,6807,峰源-KY,上市,34.20000076293945,35.05500049591065,False,51.36551931833054,34.60620310377422,47.98419427962535,11683.6,10491.85,10098.25,1.113588166052698,-0.6424949807394924,-0.47968015018456955,-0.16281483055492285,-0.2865228311182172,-0.3669987957521359,否,否,是,否,否,是,否,0.0,0.0,0.0,0.0,5.465,0.0,0.0,5.465,-2.535,0.0,1.0,-1.5350000000000001,2026-09-09
接近,20,2104,國際中橡,上市,10.600000381469727,10.392500019073486,True,50.38466637059064,40.54964751043246,54.77468560488176,4826078.4,3342302.95,3649320.875,1.4439380487636526,0.04856459356048681,0.031084606290365746,0.017479987270121067,0.005323358248426627,-0.03526941018901847,否,否,否,否,否,是,否,-646.322,0.0,-4.013,-650.335,2311.0070000000005,0.0,12.707,2323.714000000001,11874.294999999998,0.0,75.85200000000002,11950.147,2026-09-10
接近,20,6615,慧智,上櫃,33.900001525878906,34.095000457763675,False,30.466137202201026,28.171766973939103,45.35529644129358,10004.0,7000.2,8443.075,1.4291020256564098,-0.09515766096274803,-0.068544276410893,-0.026613384551855024,-0.022182002369690715,-0.0021744285699352647,否,否,是,否,否,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-10
接近,20,3714,富采,上市,62.0,60.99500007629395,True,45.318275481326424,60.10551384335399,53.014309301396295,18589209.2,13163951.2,10514316.65,1.412129908229985,1.92222543861417,1.7591596286368274,0.16306580997734255,0.4394469350693768,0.6455609171081405,否,否,否,否,否,是,否,160.508,0.0,-34.357,126.15100000000001,4825.451000000001,0.0,-107.523,4717.928000000001,10153.315000000004,4.0,316.6859999999999,10474.001000000002,2026-09-10
接近,20,1597,直得,上市,148.0,142.6,True,50.08631838629327,57.000406298843544,53.31636763325485,4158273.4,2996186.65,2314429.725,1.3878552592843307,3.370350655951029,2.778698311295441,0.5916523446555879,0.8308878105320359,0.7484550836612307,否,否,否,否,否,是,否,-312.306,0.0,-38.889,-351.195,272.67199999999997,0.0,-179.49599999999998,93.1760000000001,-3173.854,0.0,-159.49800000000002,-3333.3519999999994,2026-09-10
接近,20,2712,遠雄來,上市,14.449999809265137,14.434999990463258,True,54.51985399140345,47.39073703793945,50.32880272209665,12400.0,8950.0,9432.525,1.3854748603351956,-0.06307268433834068,-0.08042586972844049,0.017353185390099807,0.013810450250266892,0.008236054853707236,否,否,否,否,否,是,否,1.0,0.0,0.0,1.0,28.933,0.0,1.0,29.933,30.933,0.0,3.0,33.933,2026-09-10
接近,20,3597,映興,上櫃,26.799999237060547,26.522500038146973,True,45.95376059109209,43.423172083966996,54.32414193588222,33036.8,23916.6,27692.875,1.381333467131616,-0.012389176276315084,-0.03159237738267118,0.019203201106356094,-0.008914574299929146,0.008590484737952903,否,是,否,否,否,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-10
接近,20,1470,大統新創,上市,23.899999618530273,23.97499990463257,False,46.492178348530395,55.567435705344955,51.23316081737144,16009.8,11903.95,12229.725,1.344914923197762,0.2544167510697477,0.31738509094545553,-0.06296833987570782,-0.040934580423564904,-0.03774815656081737,否,否,否,否,否,是,否,-1.0,0.0,0.0,-1.0,16.744999999999997,0.0,0.0,16.744999999999997,25.745,0.0,1.904,27.649,2026-09-10
接近,20,4195,基米-創,上市,14.199999809265137,14.214999961853028,False,41.57662356753873,28.68492102729171,42.544437546728496,119389.4,89489.15,100454.1,1.3341215108200268,-0.36220716111307105,-0.4013451172893943,0.03913795617632326,0.010329006757212378,-0.005063630652667017,否,否,是,否,否,否,否,-4.0,0.0,-0.724,-4.724,-67.291,0.0,-1.1,-68.39099999999999,-170.291,0.0,-108.529,-278.82,2026-09-10
接近,20,5487,通泰,上櫃,29.25,29.240000247955322,True,44.45395183685254,37.893884363556595,51.24268789703773,93491.0,70587.55,74871.45,1.324468691716882,0.025371488401418674,0.08200987958951174,-0.056638391188093065,-0.08539130416012916,-0.08479504656557112,否,是,否,否,否,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-10
接近,20,8455,大拓-KY,上櫃,23.0,23.472500038146972,False,35.61888132928709,28.292596478282377,45.276686081725714,8507.8,6435.2,7161.8,1.32207235206365,-0.6155852957624752,-0.6287893348594122,0.013204039096937015,-0.02589887607292185,-0.01583472269623809,否,否,是,否,否,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-10
接近,20,2481,強茂,上市,154.5,146.85,True,45.25216497245367,55.54372981852923,54.81389928808772,44794523.2,33901180.95,26920748.05,1.3213263356833,2.86078131841478,1.614419154708325,1.246362163706455,1.4729819367125307,1.9469438509194559,否,否,否,否,否,否,是,5094.162,370.0,-189.061,5275.101000000001,-27413.752,3899.0,-890.2679999999999,-24405.019999999997,-27223.974,7022.0,-1549.7290000000003,-21751.702999999998,2026-09-10
接近,20,5015,華祺,上櫃,21.850000381469727,21.889999866485596,False,34.71752898675577,54.271680326689285,48.79784205030328,21066.0,16181.15,19044.5,1.3018852182941263,0.05576899652406908,0.050103861275256574,0.005665135248812507,0.02212853118489652,0.020381652784352222,否,否,是,否,否,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-10
接近,20,2464,盟立,上市,193.5,192.925,True,47.73132682250776,53.694892675425066,52.289089078686736,21917188.8,16939811.05,14290786.8,1.2938272295546058,7.922619837276244,9.074580472383825,-1.1519606351075815,-0.4905075573633564,0.06237945774570619,否,否,否,否,否,否,是,-1308.762,50.0,-27.527,-1286.289,-9029.182,370.0,20.264000000000003,-8638.918,-529.6820000000016,1611.0,457.8070000000002,1539.124999999995,2026-09-10
接近,20,6996,力領科技,上櫃,168.5,178.225,False,25.735051279113026,45.21860628113413,36.05418555262895,99347.6,80498.2,82360.75,1.2341592731266042,-1.6268307645464972,-0.524664649969754,-1.1021661145767432,-0.6874838689579398,-0.16839129900669902,否,否,是,否,否,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-10
接近,20,1455,集盛,上市,9.970000267028809,9.983999967575073,False,26.598917713676357,27.36504990025997,54.77212638344763,1017717.2,1253901.35,1204457.3,0.8116405648658085,0.11514349177666716,0.14624368174884778,-0.031100189972180614,-0.0312309837670815,-0.03412240409810313,是,否,否,否,是,是,否,63.896,0.0,9.0,72.896,369.2980000000002,0.0,-23.006999999999998,346.2910000000001,3958.5140000000006,0.0,-11.077,3947.4370000000004,2026-09-10
接近,10,6240,松崗,上櫃,22.549999237060547,23.010000038146973,False,26.512227266225224,43.15271946900222,50.93067810690534,181078.8,120888.45,75354.65,1.4978999234418175,1.0098169566560422,1.3466125136710898,-0.3367955570150476,-0.25040570100669024,-0.07680718424119348,否,否,否,否,否,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-10
接近,10,8171,天宇,上櫃,20.149999618530273,19.772500038146973,True,51.60590505176573,43.89046209054224,52.586600364540935,177575.2,124636.85,110458.25,1.4247407568467914,-0.05728725249785427,-0.10566295277396844,0.04837570027611417,0.023935302530628408,-7.458706506141555e-05,否,否,否,否,否,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-10
接近,10,6275,元山,上櫃,45.5,45.20500030517578,True,26.907828137855567,40.81370244624675,50.87479861481106,484988.4,352317.3,314592.1,1.3765670888145431,0.3600711100181613,0.3142758213371999,0.04579528868096139,0.10265270777033286,0.17019421713281446,否,否,否,否,否,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-10
接近,10,6838,台新藥,上市,23.899999618530273,23.372500228881837,True,61.89409828435899,68.4170300371102,54.67724926858033,131604.6,96710.45,114009.425,1.3608105432246465,0.17321598409702688,0.04897435595877199,0.12424162813825489,0.15642476530257665,0.1893371070834311,否,否,否,否,否,是,否,14.0,0.0,2.0,16.0,38.344,0.0,2.0,40.344,124.344,0.0,9.0,133.344,2026-09-10
接近,10,6716,應廣,上櫃,120.0,126.175,False,26.99648431117776,28.781707606627293,53.28395452661825,1168129.0,888333.05,642931.225,1.3149673987700896,4.1372179026135,6.474105144554654,-2.336887241941154,-2.434639355459649,-2.4387315098262965,否,否,否,否,否,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-10
接近,10,2034,允強,上市,20.450000762939453,20.437500190734863,True,43.4737782120672,60.68453739568501,52.44135187614898,1506939.8,1161215.9,1351712.425,1.297725771753556,0.25049781887621236,0.25027101805719676,0.00022680081901560456,0.03663008309674248,0.05746140047500686,否,否,否,否,否,是,否,54.606,0.0,-63.735,-9.128999999999998,1673.904,0.0,-76.988,1596.916,6924.52,0.0,-77.45300000000003,6847.066999999999,2026-09-10
