candidate_level,candidate_score,股票代號,股票名稱,市場,收盤價,MA20,是否站上 MA20,K 值,D 值,RSI,Volume_MA5,Volume_MA20,Volume_MA40,放量倍數,MACD_DIF,MACD_Signal,MACD_Histogram,MACD_Histogram_前1日,MACD_Histogram_前2日,MACD_綠柱趨緩接近翻紅,是否符合 KD 區間,是否符合 RSI 區間,是否明顯放量,MACD 是否綠柱趨緩接近翻紅,法人近 5 日是否合計買超,投信近 5 日是否買超,外資近 1 日買賣超張數,投信近 1 日買賣超張數,自營商近 1 日買賣超張數,三大法人近 1 日合計買賣超張數,外資近 5 日買賣超張數,投信近 5 日買賣超張數,自營商近 5 日買賣超張數,三大法人近 5 日合計買賣超張數,外資近 20 日買賣超張數,投信近 20 日買賣超張數,自營商近 20 日買賣超張數,三大法人近 20 日合計買賣超張數,最後更新日期
接近,40,8933,愛地雅,上櫃,4.449999809265137,4.582499933242798,False,35.91866300962491,44.01820501520097,42.320676568871626,106698.0,87670.1,93279.875,1.2170397889360225,0.014622367020725946,0.031053848547700137,-0.01643148152697419,-0.006248756371046202,-0.0032278764487400913,否,是,是,否,否,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-11
接近,40,6674,鋐寶科技,上市,15.800000190734863,15.862499904632568,False,27.83564632440578,31.420312346438294,48.55912736689094,71414.0,65610.5,42505.65,1.088453829798584,0.0602269765257315,0.04275442027382462,0.017472556251906884,0.04202190269396729,0.05675274707660759,否,否,是,否,否,是,否,-2.0,0.0,0.0,-2.0,9.612,0.0,-1.0,8.612,-1.3879999999999981,0.0,2.0,0.6120000000000019,2026-09-11
接近,40,6257,矽格,上市,211.5,207.925,True,39.60541870558091,47.42778379337224,52.23440712365305,7900630.6,7397847.75,6505344.225,1.0679633951644922,1.3628004492099421,0.4652546251525965,0.8975458240573456,1.2229581676202694,1.0763514592799956,否,是,否,否,否,是,是,-2510.056,48.0,-141.095,-2603.151,1931.584,260.613,150.255,2342.452,-13345.323,-4643.673,-238.71700000000004,-18227.712999999996,2026-09-11
接近,40,2481,強茂,上市,150.0,147.45,True,36.228716041221944,49.10539187304215,51.72169903434507,35958331.8,34439608.6,27179483.3,1.0440981550527841,2.5264672269335904,1.7850509130834902,0.7414163138501002,1.251031333235466,1.4780170850624832,否,是,否,否,否,否,是,-4940.958,0.0,-858.051,-5799.009,-17784.589999999997,2650.0,-1653.4419999999998,-16788.032,-30589.148999999998,7022.0,-2216.594,-25783.742999999995,2026-09-11
接近,40,2701,萬企,上市,10.350000381469727,10.53999991416931,False,26.88555657222318,28.72096661661232,38.7873344475817,48823.8,59806.6,68130.175,0.8163614049285531,-0.07832100947212695,-0.060905292043273294,-0.01741571742885365,-0.01774544028305213,-0.02105560014749147,是,否,是,否,是,是,否,-14.0,0.0,0.0,-14.0,24.65,0.0,0.0,24.65,-185.35,0.0,-6.0,-191.35,2026-09-11
接近,30,5902,德記,上櫃,34.599998474121094,34.56749992370605,True,51.2026007549431,48.60223805034566,53.26102064323502,119397.4,34549.35,26052.05,3.4558508336625726,-0.05872300493683724,-0.00448773309402247,-0.05423527184281477,-0.09303594727449209,-0.07092777963013522,否,否,否,是,否,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-11
接近,30,5211,蒙恬,上櫃,19.950000762939453,19.467500019073487,True,52.26290571697679,52.242272473412484,53.137435378934384,162457.2,52493.65,49083.7,3.094797180230371,0.09107415235907723,-0.045476137559909535,0.13655028991898677,0.15602047569890287,0.13955709618847825,否,否,否,是,否,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-11
接近,30,6023,元大期貨,上櫃,84.9000015258789,84.01000022888184,True,50.296851550243005,52.72074426658362,50.645274181461225,1754311.4,810389.4,712696.025,2.164775847265524,-0.156294390430034,-0.33314969651771165,0.17685530608767763,0.17452494647200195,0.2126083466244496,否,否,否,是,否,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-11
接近,30,3437,榮創,上市,18.149999618530273,17.99000005722046,True,47.24346533206288,50.28328808120292,50.349134947555655,1364002.2,716697.3,599002.25,1.9031775339463395,0.1419875232869714,0.01920057354315693,0.12278694974381446,0.18028810250652977,0.09929885533963759,否,否,否,是,否,否,否,-859.0,0.0,0.0,-859.0,-556.739,0.0,-2.0,-558.739,98.35000000000008,0.0,2.0,100.35000000000008,2026-09-11
接近,30,2941,米斯特,上櫃,31.049999237060547,30.702499771118163,True,42.27094601522336,50.56742967120342,50.568674231938054,3809.0,2252.25,1726.25,1.6911976911976911,0.039886409957695435,-0.08740905284412269,0.12729546280181814,0.17761419624610547,0.17859276619007153,否,否,否,是,否,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-11
